,coord_ra,coord_dec,ObjectId,visit,band,psfDiffFlux,psfDiffFluxErr,psfFlux,psfFluxErr,expMidptMJD,pixelFlags_bad,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_suspect,pixelFlags_suspectCenter,nGoodSources
144,59.46141767003128,-48.61886936973327,592914531496244385,2024120800432,z,-175.092,2146.24,2341950.0,2101.84,60653.23900326388,False,False,False,False,False,155
145,59.46141767003128,-48.61886936973327,592914531496244385,2024120800431,z,-13632.2,2120.05,2317970.0,2066.38,60653.238608790605,False,False,False,False,False,155
146,59.46141767003128,-48.61886936973327,592914531496244385,2024111700342,r,-1213170.0,698.721,632928.0,689.701,60632.23354745939,False,True,True,True,True,155
147,59.46141767003128,-48.61886936973327,592914531496244385,2024120200091,r,182066.0,1509.16,2060160.0,1474.21,60647.13850777202,False,False,False,False,False,155
148,59.46141767003128,-48.61886936973327,592914531496244385,2024111800081,z,3959.62,1992.17,2328100.0,1938.12,60633.088718205996,False,False,False,False,False,155
149,59.46141767003128,-48.61886936973327,592914531496244385,2024111700353,z,-6012.37,2056.93,2334210.0,2017.44,60632.244686707214,False,False,False,False,False,155
150,59.46141767003128,-48.61886936973327,592914531496244385,2024113000200,u,2659.45,1404.02,480512.0,1349.12,60645.14200637727,False,False,False,False,False,155
151,59.46141767003128,-48.61886936973327,592914531496244385,2024112600176,g,1760.27,1252.7,1410810.0,1234.07,60641.1155921065,False,False,False,False,False,155
152,59.46141767003128,-48.61886936973327,592914531496244385,2024120200074,u,1154.26,1360.13,466704.0,1327.3,60647.11406462382,False,False,False,False,False,155
153,59.46141767003128,-48.61886936973327,592914531496244385,2024120200082,g,5896.78,1125.61,1343600.0,1097.17,60647.12427491903,False,False,False,False,False,155
154,59.46141767003128,-48.61886936973327,592914531496244385,2024112600157,g,-7501.33,1363.56,1411130.0,1348.13,60641.102800167864,False,False,False,False,False,155
155,59.46141767003128,-48.61886936973327,592914531496244385,2024113000193,g,-3740.62,1163.72,1401300.0,1137.18,60645.1372070717,False,False,False,False,False,155
156,59.46141767003128,-48.61886936973327,592914531496244385,2024111900347,i,194962.0,1777.76,2274590.0,1728.81,60634.3146135705,False,False,False,False,False,155
